"","01","02","03","04","05","06","07","08","09","10","11","12"
"MMQ_Estrella",768.5,632.29,654.29,640.66,821.63,682.44,625.43,753.71,692.28,716.43,785.18,755.39
"MMQ_Banano",1799.28,1823.85,1857.94,1792.74,1853.4,1758.59,1619.43,1882.93,1813,1850.08,2035.09,1871.34
